brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,expected_range_km
Abarth,500e Convertible,155,37.8,192,235,156,7,67,0,185,4,FWD,B - Compact,Hatchback,242
Abarth,500e Hatchback,155,37.8,192,235,149,7,67,0,185,4,FWD,B - Compact,Hatchback,254
Abarth,600e Scorpionissima,200,50.8,102,345,158,5.9,79,0,360,5,FWD,JB - Compact,SUV,322
Abarth,600e Turismo,200,50.8,102,345,158,6.2,79,0,360,5,FWD,JB - Compact,SUV,322
Aiways,U5,150,60,0,310,156,7.5,78,0,496,5,FWD,JC - Medium,SUV,385
Aiways,U6,160,60,0,315,150,7,78,0,472,5,FWD,JC - Medium,SUV,400
Alfa,Romeo Junior Elettrica 54 kWh,150,50.8,102,260,128,9,85,0,400,5,FWD,JB - Compact,SUV,397
Alfa,Romeo Junior Elettrica 54 kWh Veloce,200,50.8,102,345,164,6,85,0,400,5,FWD,JB - Compact,SUV,310
Alpine,A290 Electric 180 hp,160,52,184,285,138,7.4,70,500,326,5,FWD,B - Compact,Hatchback,377
Alpine,A290 Electric 220 hp,170,52,184,300,144,6.4,70,500,326,5,FWD,B - Compact,Hatchback,361
Audi,A6 Avant e-tron,210,75.8,150,435,146,6,150,2100,502,5,RWD,JE - Executive,Station/Estate,519
Audi,A6 Avant e-tron performance,210,94.9,180,565,151,5.4,200,2100,502,5,RWD,JE - Executive,Station/Estate,628
Audi,A6 Avant e-tron quattro,210,94.9,180,855,157,4.5,200,2100,502,5,AWD,JE - Executive,Station/Estate,604
Audi,A6 Sportback e-tron,210,75.8,150,435,136,6,150,2100,502,5,RWD,JE - Executive,Liftback Sedan,557
Audi,A6 Sportback e-tron performance,210,94.9,180,565,141,5.4,200,2100,502,5,RWD,JE - Executive,Liftback Sedan,673
Audi,A6 Sportback e-tron quattro,210,94.9,180,855,147,4.7,200,2100,502,5,AWD,JE - Executive,Liftback Sedan,646
Audi,Q4 Sportback e-tron 40,160,59,216,310,156,8.1,110,1000,520,5,RWD,JC - Medium,SUV,378
Audi,Q4 Sportback e-tron 45,180,77,288,545,162,6.7,120,1000,535,5,RWD,JC - Medium,SUV,475
Audi,Q4 Sportback e-tron 45 quattro,180,77,288,679,165,6.6,120,1200,535,5,AWD,JC - Medium,SUV,467
Audi,Q4 Sportback e-tron 55 quattro,180,77,288,679,165,5.4,120,1200,535,5,AWD,JC - Medium,SUV,467
Audi,Q4 e-tron 40,160,59,216,310,159,8.1,110,1000,520,5,RWD,JC - Medium,SUV,371
Audi,Q4 e-tron 45,180,77,288,545,169,6.7,120,1000,520,5,RWD,JC - Medium,SUV,456
Audi,Q4 e-tron 45 quattro,180,77,288,679,171,6.6,120,1200,520,5,AWD,JC - Medium,SUV,450
Audi,Q4 e-tron 55 quattro,180,77,288,679,171,5.4,120,1200,520,5,AWD,JC - Medium,SUV,450
Audi,Q6 e-tron,210,75.8,150,450,166,7,150,2000,526,5,RWD,JD - Large,SUV,457
Audi,Q6 e-tron Sportback,210,75.8,150,450,139,7,150,2000,511,5,RWD,JD - Large,SUV,545
Audi,Q6 e-tron Sportback performance,210,94.9,180,485,145,6.6,190,2000,511,5,RWD,JD - Large,SUV,654
Audi,Q6 e-tron Sportback quattro,210,94.9,180,855,149,5.9,200,2400,511,5,AWD,JD - Large,SUV,637
Audi,Q6 e-tron performance,210,94.9,180,485,171,6.6,190,2000,526,5,RWD,JD - Large,SUV,555
Audi,Q6 e-tron quattro,210,94.9,180,855,176,5.9,200,2400,526,5,AWD,JD - Large,SUV,539
Audi,S6 Avant e-tron,240,94.9,180,855,156,3.9,200,2100,535,5,AWD,JE - Executive,Station/Estate,608
Audi,S6 Sportback e-tron,240,94.9,180,855,149,3.9,200,2100,502,5,AWD,JE - Executive,Liftback Sedan,637
Audi,SQ6 e-tron,230,94.9,180,855,169,4.3,200,2400,514,5,AWD,JD - Large,SUV,562
Audi,SQ6 e-tron Sportback,230,94.9,180,855,164,4.3,200,2400,511,5,AWD,JD - Large,SUV,579
Audi,e-tron GT RS,250,97,396,865,184,2.8,281,0,350,4,AWD,F - Luxury,Sedan,527
Audi,e-tron GT RS performance,250,97,396,1027,182,2.5,281,0,350,4,AWD,F - Luxury,Sedan,533
Audi,e-tron GT S,245,97,396,740,172,3.4,281,0,405,4,AWD,F - Luxury,Sedan,564
Audi,e-tron GT quattro,245,97,396,625,169,4,281,0,405,4,AWD,F - Luxury,Sedan,574
BMW,i4 M50,225,81.3,0,795,197,3.9,131,1600,470,5,AWD,D - Large,Liftback Sedan,413
BMW,i4 eDrive35,190,67.1,0,400,174,6,95,1600,470,5,RWD,D - Large,Liftback Sedan,386
BMW,i4 eDrive40,190,81.3,0,430,174,5.6,131,1600,470,5,RWD,D - Large,Liftback Sedan,467
BMW,i4 xDrive40,200,81.3,0,600,183,5.1,131,1600,470,5,AWD,D - Large,Liftback Sedan,444
BMW,i5 M60 xDrive Sedan (MY25),230,81.2,0,795,172,3.8,136,2000,490,5,AWD,E - Executive,Sedan,472
BMW,i5 M60 xDrive Touring (MY25),230,81.2,0,795,179,3.9,136,2000,570,5,AWD,E - Executive,Station/Estate,454
BMW,i5 eDrive40 Sedan (MY25),193,81.2,0,400,159,6,136,1500,490,5,RWD,E - Executive,Sedan,511
BMW,i5 eDrive40 Touring (MY25),193,81.2,0,400,165,6.1,136,1500,570,5,RWD,E - Executive,Station/Estate,492
BMW,i5 xDrive40 Sedan (MY25),215,81.2,0,590,167,5.4,136,2000,490,5,AWD,E - Executive,Sedan,486
BMW,i5 xDrive40 Touring (MY25),215,81.2,0,590,174,5.5,136,2000,570,5,AWD,E - Executive,Station/Estate,467
BMW,i7 M70 xDrive,250,101.7,0,1100,208,3.7,159,0,500,5,AWD,F - Luxury,Sedan,489
BMW,i7 eDrive50,205,101.7,0,650,177,5.5,159,0,500,5,RWD,F - Luxury,Sedan,575
BMW,i7 xDrive60,240,101.7,0,745,172,4.7,159,2000,500,5,AWD,F - Luxury,Sedan,591
BMW,iX M70 xDrive,250,108.9,0,1015,209,3.8,150,2500,500,5,AWD,JE - Executive,SUV,521
BMW,iX xDrive45,200,94.8,0,700,193,5.1,115,2500,500,5,AWD,JE - Executive,SUV,491
BMW,iX xDrive60,200,109.1,0,765,194,4.6,150,2500,500,5,AWD,JE - Executive,SUV,562
BMW,iX1 eDrive20,170,64.7,0,247,150,8.3,94,750,490,5,FWD,JC - Medium,SUV,431
BMW,iX1 xDrive30,180,64.7,0,494,155,5.6,94,1200,490,5,AWD,JC - Medium,SUV,417
