Sum of Batter Capacity (Kwh),Sum of Range_km,Brand
177.2,1140,Abarth
120,785,Aiways
101.6,707,Alfa
104,738,Alpine
2410,15112,Audi
1674.9,9526,BMW
1122.6,7102,BYD
102,531,Cadillac
610.8,3935,Citroen
369,2453,CUPRA
50,448,Dacia
69,540,Dongfeng
377.2,2749,DS
81,399,Elaris
270.4,2222,Fiat
1626.4,9469,Ford
378.5,2426,Genesis
376.1,2532,GWM
61.9,413,Honda
278.5,1376,Hongqi
1014.8,6735,Hyundai
84.7,407,Jaguar
124.8,885,Jeep
72,462,KGM
1220.8,7978,Kia
48.1,394,Lancia
105.9,686,Leapmotor
192,1276,Lexus
623.7,2869,Lotus
296,2139,Lucid
261,1307,Maserati
141,1029,Mazda
3737.3,19915,Mercedes-Benz
727.3,4898,MG
401.1,2962,Mini
981,5444,NIO
414,2294,Nissan
61,401,Omoda
774.6,5105,Opel
1165.8,7547,Peugeot
813,5190,Polestar
2440.5,13590,Porsche
581,4254,Renault
102,531,Rolls-Royce
851,5857,Skoda
149,944,Skywell
1181.4,7593,Smart
64,416,Subaru
876,6347,Tesla
410.3,2412,Toyota
175.4,919,VinFast
1722,11639,Volkswagen
1458,9347,Volvo
100,500,Voyah
751.1,4684,XPENG
720,4627,Zeekr
